LocationTime,LOCATION,INDICATOR,TIME,Soc_Spend_Val
CZE-2009,CZE,SOCEXP,2009,19.197
CZE-2011,CZE,SOCEXP,2011,18.807
CZE-2013,CZE,SOCEXP,2013,19.756
CZE-2015,CZE,SOCEXP,2015,18.468
CZE-2017,CZE,SOCEXP,2017,17.914
CZE-1990,CZE,SOCEXP,1990,3111.648
CZE-1991,CZE,SOCEXP,1991,2971.86
CZE-1992,CZE,SOCEXP,1992,3007.53
CZE-1993,CZE,SOCEXP,1993,3058.042
CZE-1994,CZE,SOCEXP,1994,3161.974
CZE-1995,CZE,SOCEXP,1995,3405.302
CZE-1996,CZE,SOCEXP,1996,3559.603
CZE-1997,CZE,SOCEXP,1997,3709.705
CZE-1998,CZE,SOCEXP,1998,3772.736
CZE-1999,CZE,SOCEXP,1999,3973.888
CZE-2000,CZE,SOCEXP,2000,4174.684
CZE-2001,CZE,SOCEXP,2001,4309.412
CZE-2002,CZE,SOCEXP,2002,4569.105
CZE-2003,CZE,SOCEXP,2003,4766.576
CZE-2004,CZE,SOCEXP,2004,4769.768
CZE-2005,CZE,SOCEXP,2005,5104.545
CZE-2006,CZE,SOCEXP,2006,5337.684
CZE-2007,CZE,SOCEXP,2007,5536.709
CZE-2008,CZE,SOCEXP,2008,5719.509
CZE-2009,CZE,SOCEXP,2009,6117.82
CZE-2010,CZE,SOCEXP,2010,6118.863
CZE-2011,CZE,SOCEXP,2011,6253.627
CZE-2012,CZE,SOCEXP,2012,6262.787
CZE-2013,CZE,SOCEXP,2013,6527.376
CZE-2014,CZE,SOCEXP,2014,6470.469
CZE-2015,CZE,SOCEXP,2015,6537.184
CZE-2016,CZE,SOCEXP,2016,6555.336
CZE-2017,CZE,SOCEXP,2017,6754.051
DNK-1990,DNK,SOCEXP,1990,4.661
DNK-1991,DNK,SOCEXP,1991,4.943
DNK-1992,DNK,SOCEXP,1992,5.157
DNK-1993,DNK,SOCEXP,1993,5.732
DNK-1994,DNK,SOCEXP,1994,5.641
DNK-1995,DNK,SOCEXP,1995,5.098
